net,length_um
clknet_0_clk,312.56
net2,298.92
_0322_,278.68
_0305_,254.53
net5,253.33
_0167_,243.74
_0337_,237.38
_0156_,237.15
net7,231.94
_0175_,229.56
_0180_,229.11
_0177_,212.42
_0170_,211.74
_0388_,211.68
_0306_,211.12
_0179_,210.49
_0440_,210.02
_0201_,209.74
_0199_,207.12
_0314_,207.08
_0164_,205.5
_0430_,203.84
_0470_,200.94
_0326_,200.55
_0185_,199.83
_0368_,198.4
_0348_,197.54
_0450_,196.565
net1,190.67
_0159_,188.71
_0188_,187.81
_0318_,187.48
_0460_,186.98
net8,186.94
_0400_,185.27
_0190_,181.68
_0308_,180.04
net10,178.92
_0195_,178.13
net3,174.14
_0320_,173.52
_0310_,173.08
_0187_,170.23
_0358_,168.62
_0312_,165.38
net9,160.6
_0316_,155.88
_0420_,150.94
net4,149.06
clk,146.87
net6,137.62
_0410_,134.4
_0378_,130.54
net11,127.4
_0233_,121.96
clknet_4_10_0_clk,118.38
clknet_4_5_0_clk,116.195
clknet_4_2_0_clk,115.58
clknet_4_15_0_clk,110.12
net23,98.54
clknet_4_13_0_clk,98.1
clknet_4_7_0_clk,95.94
net20,94.56
net25,94.06
clknet_4_1_0_clk,92.98
net22,92.82
_0292_,92.26
net27,89.62
clknet_4_11_0_clk,86.88
net19,83.64
clknet_4_0_0_clk,82.88
net26,82.68
clknet_4_4_0_clk,82.64
_0173_,80.04
net17,77.62
clknet_4_3_0_clk,76.66
clknet_4_8_0_clk,74.54
net13,74.32
_0277_,73.88
_0174_,73
_0197_,73
_0211_,72.92
_0255_,71.12
_0155_,71.045
_0266_,70.66
clknet_4_9_0_clk,70.52
net15,69.62
_0244_,68.36
_0168_,67.46
_0324_,67.28
net21,67.12
clknet_4_6_0_clk,66.6
_0160_,65.42
_0165_,65.185
_0278_,64.42
_0157_,63.815
clknet_4_14_0_clk,62.92
_0193_,60.12
_0162_,59.595
net24,56.44
_0222_,55.22
_0346_,52.44
net14,51.78
_0161_,51.615
_0191_,50.56
net28,47.96
net173,47.7
_0169_,45.02
_0293_,40.2
_0272_,39.42
clknet_4_12_0_clk,38.04
_0200_,35.9
_0276_,33.56
_0323_,33.02
_0228_,32.74
net18,30.28
_0208_,29.16
_0254_,28.98
_0239_,28.58
net12,28.4
stack\[13\]\[0\],27.94
_0243_,27.34
top\[1\],27.34
_0479_,25.88
_0335_,25.8
_0284_,24.93
net29,24
stack\[1\]\[1\],22.98
net16,22.38
_0230_,22.08
_0265_,22.04
top\[2\],22.02
_0261_,21.84
_0267_,21.78
_0249_,21.62
top\[0\],21.2
stack\[1\]\[7\],20.98
_0257_,20.9
_0216_,20.84
stack\[13\]\[6\],20.58
stack\[12\]\[2\],19.76
_0182_,19.715
stack\[8\]\[2\],19.24
stack\[8\]\[3\],19.14
stack\[5\]\[2\],19.12
_0206_,18.92
stack\[15\]\[5\],18.54
stack\[2\]\[4\],18.52
_0212_,18.36
_0221_,18.02
stack\[13\]\[5\],17.92
stack\[0\]\[3\],17.84
stack\[15\]\[4\],17.64
stack\[1\]\[6\],17.62
stack\[7\]\[7\],17.58
_0205_,17.5
stack\[9\]\[4\],17.44
_0271_,17.4
_0250_,16.98
_0189_,16.94
stack\[9\]\[0\],16.86
_0223_,16.8
_0273_,16.78
stack\[9\]\[1\],16.56
stack\[13\]\[7\],16.44
_0263_,16.28
stack\[0\]\[2\],16.24
stack\[14\]\[1\],16.2
stack\[13\]\[1\],16.12
top\[3\],16.12
stack\[15\]\[6\],16
stack\[3\]\[6\],16
stack\[1\]\[5\],15.88
stack\[12\]\[0\],15.65
stack\[1\]\[2\],15.615
stack\[1\]\[4\],15.525
_0246_,15.5
stack\[5\]\[7\],15.46
stack\[5\]\[4\],15.44
stack\[13\]\[4\],15.4
stack\[11\]\[2\],15.22
stack\[15\]\[2\],15.14
stack\[11\]\[4\],15.1
_0283_,15.06
stack\[9\]\[6\],15.02
_0280_,14.92
data_out[1],14.82
stack\[8\]\[1\],14.8
stack\[15\]\[3\],14.76
_0217_,14.72
stack\[9\]\[5\],14.68
net36,14.66
stack\[2\]\[6\],14.645
stack\[7\]\[1\],14.64
_0289_,14.6
_0181_,14.4
stack\[12\]\[5\],14.4
_0131_,14.365
stack\[5\]\[3\],14.26
_0295_,14.08
_0290_,13.92
_0234_,13.88
stack\[8\]\[5\],13.86
stack\[4\]\[5\],13.84
_0291_,13.835
stack\[7\]\[4\],13.76
stack\[14\]\[7\],13.62
stack\[4\]\[3\],13.5
stack\[10\]\[7\],13.46
error,13.3
stack\[6\]\[7\],13.22
stack\[14\]\[3\],13.06
_0219_,13.02
stack\[13\]\[3\],12.9
_0339_,12.86
stack\[4\]\[4\],12.84
stack\[8\]\[0\],12.8
stack\[12\]\[3\],12.72
stack\[8\]\[6\],12.64
net34,12.62
stack\[12\]\[6\],12.38
stack\[3\]\[0\],12.38
stack\[8\]\[4\],12.38
stack\[15\]\[7\],12.32
stack\[5\]\[5\],12.26
net42,12.12
_0214_,12.1
stack\[11\]\[1\],12.1
_0198_,11.94
stack\[11\]\[5\],11.88
_0260_,11.82
_0415_,11.82
_0429_,11.78
_0418_,11.74
_0224_,11.7
_0063_,11.625
_0355_,11.6
stack\[6\]\[0\],11.6
stack\[11\]\[3\],11.58
data_in[4],11.56
push,11.56
stack\[14\]\[5\],11.56
_0297_,11.44
stack\[7\]\[2\],11.44
stack\[9\]\[2\],11.42
_0158_,11.38
_0448_,11.32
_0268_,11.26
stack\[10\]\[0\],11.24
stack\[10\]\[5\],11.22
_0344_,11.14
stack\[10\]\[4\],11.12
data_in[5],11.1
data_in[6],11.1
_0302_,11
stack\[5\]\[1\],11
stack\[2\]\[2\],10.965
stack\[12\]\[7\],10.92
_0330_,10.9
stack\[7\]\[0\],10.84
_0269_,10.82
stack\[6\]\[2\],10.82
_0350_,10.8
_0454_,10.78
_0425_,10.66
stack\[11\]\[0\],10.66
stack\[5\]\[0\],10.66
net149,10.62
stack\[1\]\[3\],10.585
net38,10.56
empty,10.54
stack\[3\]\[4\],10.52
stack\[12\]\[4\],10.46
top\[4\],10.46
stack\[15\]\[1\],10.44
stack\[7\]\[6\],10.44
stack\[3\]\[3\],10.42
stack\[6\]\[1\],10.42
_0294_,10.4
_0389_,10.4
_0240_,10.2
stack\[11\]\[7\],10.16
_0071_,10.12
_0090_,10.025
_0033_,9.98
_0238_,9.98
stack\[5\]\[6\],9.98
_0394_,9.94
_0218_,9.88
_0137_,9.785
stack\[2\]\[1\],9.76
